"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,3728,5.96570625,0.09577,8.296,5.3637,0.8403,0,0,0.01545,0.001302,"tm15","m10",9,18,4.865,46.0888888888889,15,1,1,465,0.052,0.7,0.195,5,3,15,0.952666944948919,2.59489399358333,27.2,1,65,4.55939311460399,22.1107298185888,0
"2",1,3878,5.971,0.1011,8.632,5.621,0.8458,0.1455,0.040620793010916,0.01429,0.001269,"tm15","m10",9,18,4.865,47.9555555555555,15,1,1,465,0.052,0.7,0.195,5,3,15,0.953069708127922,2.82831544722222,27.2,1,65,4.55939311460399,20.2859267541567,1.2171556052494
"3",0,3816,6.253875,0.1002,8.497,5.5803,0.8447,0,0,0.01545,0.0013,"tm15","m10",12,18,5.1,47.2055555555556,15,1,1,465,0.052,0.7,0.195,5,4,20,0.952576873469383,2.76535331691667,27.2,1,65,4.34930343187224,27.6637345152324,0
"4",1,3966,6.259,0.1056,8.833,5.8431,0.8499,0.1427,0.039709731141375,0.01432,0.001268,"tm15","m10",12,18,5.1,49.0722222222222,15,1,1,465,0.052,0.7,0.195,5,4,20,0.95294554897399,3.00892219891667,27.2,1,65,4.34930343187224,25.4243861896938,1.52546317138163
"5",2,4136,6.273,0.1115,9.214,6.1304,0.8552,0.2598,0.0761522059230166,0.0132,0.001231,"tm15","m10",12,18,5.1,51.1888888888889,15,1,1,465,0.052,0.7,0.195,5,4,20,0.953384130820775,3.29152074488889,27.2,1,65,4.34930343187224,23.2415366419276,2.78898439703131
"6",3,4326,6.298,0.1178,9.639,6.4377,0.8603,0.3539,0.109201760638781,0.01211,0.001189,"tm15","m10",12,18,5.1,53.55,15,1,1,465,0.052,0.7,0.195,5,4,20,0.95389507154213,3.61401212025,27.2,1,65,4.34930343187224,21.1676102499369,3.81016984498864
"7",4,4536,6.332,0.1245,10.106,6.7628,0.8653,0.4283,0.138889811215205,0.01108,0.001143,"tm15","m10",12,18,5.1,56.1444444444444,15,1,1,465,0.052,0.7,0.195,5,4,20,0.954464145732867,3.978081844,27.2,1,65,4.34930343187224,19.2303735820273,4.61528965968655
"8",5,4764,6.376,0.1315,10.614,7.1043,0.8701,0.4859,0.165279189505359,0.01011,0.001095,"tm15","m10",12,18,5.1,58.9666666666667,15,1,1,465,0.052,0.7,0.195,5,4,20,0.955079155761856,4.38620074025,27.2,1,65,4.34930343187224,17.4410622154151,5.23231866462453
"9",6,5009,6.43,0.1388,11.16,7.4609,0.8747,0.5298,0.188621222921531,0.009222,0.001045,"tm15","m10",12,18,5.1,62,15,1,1,465,0.052,0.7,0.195,5,4,20,0.95572124625708,4.84007028002778,27.2,1,65,4.34930343187224,15.8055556167587,5.69000002203314
"10",0,3902,6.54204375,0.1047,8.694,5.7966,0.8488,0,0,0.01546,0.001298,"tm15","m10",15,18,5.335,48.3,15,1,1,465,0.052,0.7,0.195,5,5,25,0.952471726576853,2.939465521,27.2,1,65,4.15772211856578,32.5314242731681,0
"11",1,4052,6.547,0.1102,9.029,6.0649,0.8537,0.14,0.0388615011249057,0.01435,0.001268,"tm15","m10",15,18,5.335,50.1611111111111,15,1,1,465,0.052,0.7,0.195,5,5,25,0.952803563014675,3.19291546113889,27.2,1,65,4.15772211856578,29.9491174019031,1.79694704411418
"12",2,4221,6.562,0.1162,9.409,6.3575,0.8586,0.2555,0.0746128255227576,0.01325,0.001232,"tm15","m10",15,18,5.335,52.2722222222222,15,1,1,465,0.052,0.7,0.195,5,5,25,0.953208302202186,3.48633821180556,27.2,1,65,4.15772211856578,27.4284920711913,3.29141904854296
"13",3,4410,6.586,0.1226,9.832,6.6701,0.8635,0.3489,0.107128309487412,0.01218,0.001191,"tm15","m10",15,18,5.335,54.6222222222222,15,1,1,465,0.052,0.7,0.195,5,5,25,0.953683033278513,3.82030162780556,27.2,1,65,4.15772211856578,25.0307460814105,4.50553429465389
"14",4,4618,6.62,0.1294,10.296,7.0004,0.8682,0.4232,0.136407953018869,0.01117,0.001146,"tm15","m10",15,18,5.335,57.2,15,1,1,465,0.052,0.7,0.195,5,5,25,0.954215098767194,4.19635866711111,27.2,1,65,4.15772211856578,22.7876136397633,5.46902727354319
"15",5,4844,6.665,0.1365,10.8,7.347,0.8727,0.4812,0.162546003896736,0.01022,0.001099,"tm15","m10",15,18,5.335,60,15,1,1,465,0.052,0.7,0.195,5,5,25,0.954793194446286,4.616916025,27.2,1,65,4.15772211856578,20.7118776867942,6.21356330603825
